# vs_cfr 2960003-dirty seed=1 samples=128 throttle_ms=500 shim=/home/jdh8/.dotnet/dotnet /home/jdh8/src/hearts-engine/tournament/CfrShim/bin/Release/net10.0/CfrShim.dll
pair,seating,direction,deal_seed,cfr_seats,north,east,south,west,shooter,shooter_side,mc_attempts,mc_passes,passes_nesw,plays_by_trick,cfr_payoff
366,0,across,3697463213931980295,EW,22,3,1,0,,,1,1,2D3D8S/7D8DJD/TDKDKH/JC4D5D,E2CS5CWACN9D/W4SNASE6SS9S/NADE5DS6DW8D/NKDE4DS3DWJD/NQSEJCS8SW3S/NQDE5HS2DW7D/NAHE3HS9HW2H/NKHE7HS8HW9C/NJSE4HSKCW2S/NJHEQHS6HW7S/E6CS7CW3CNTH/S8CWKSNTSE4C/STCW5SNTDEQC,6.666667
366,1,across,3697463213931980295,NS,0,26,26,26,N,cfr,0,0,THJHAH/7D8DJD/6DTDKD/JCACKS,E2CS7CW9CN8S/W2SNTSEKSS9S/E6SS5CW5SNAS/NKDEQHSKCWJD/NADEJCS9HW8D/NTDEQCSTHW7D/N6DE7HSAHW5D/NJSEACSKHW7S/NQSE4CS8HW4S/N9DE6CS6HW4D/NQDE5HSTCW3S/N2DE4HS8CW3C/N3DE3HSJHW2H,8.666667
367,0,hold,15098178033255178778,EW,0,3,18,5,,,0,0,///,W2CN4CEJCSQC/STDWKDN9DE8D/W8CN6CE7CSTC/S4SW9SNTSEAS/E7SS8SW2SN6S/S6DW5DNQSE3D/SKCW3CNJSE9C/SJDW4DNKHE2D/S5CWJHN9HETH/SACW7DN8HE3S/S5HWADN4HEAH/E5SS7HWKSN3H/WQDN2HEQHS6H,3.333333
367,1,hold,15098178033255178778,NS,0,3,0,23,,,0,0,///,W2CN6CEJCSKC/S8SW9SNJSEAS/E8DSJDW7DN9D/S4SW2SN6SE7S/E3SSTDWKSNQS/W3CN4CE9CSTC/S6DWQDN9HE3D/W8CNTSE7CS5C/W4DN8HE2DS7H/W5DN3HE5SS5H/WKDN4HETHS6H/WADN2HEQHSQC/WJHNKHEAHSAC,8.666667
368,0,left,8052148778868825649,EW,0,8,1,17,,,0,0,QCKCQD/9HJHKS/8DAHQS/TH5SAS,W2CNASEKCSAC/S7SWQSNTSEJS/W4CN9DE5CS8C/S9SW9CN8SE3S/SKSW6DN6SE7C/STCW8DNTHE6C/S5HWAHN8HE4H/W2DN7HE7DSJC/EJDSKHWTDN3H/E4DSQHW3DN2H/EQDSJHW5DN5S/E3CS9HWADN4S/EQCS6HWKDN2S,-8.000000
368,1,left,8052148778868825649,NS,26,26,0,26,S,cfr,0,0,QCKCQD/9HJHKS/8C8D9S/ADTHAS,W2CN9DE5CSJC/SACW9CNTHE6C/SJHW9SN8HE4H/SAHWKDN2HEKC/SKHW5SN3HEQD/SQHWTDN7HEQC/S5HW8DNADEJS/S7SW8CN6SE3S/SKSW6DNASE7C/N4SEJDSQSW5D/S6HW4CN8SE7D/STCW3DNTSE3C/S9HW2DN2SE4D,8.666667
369,0,right,1006119524482472516,EW,18,8,0,0,,,0,0,8DTDQD/2CJC3D/KCADQS/TC6H8H,N2CEKCS7CWAC/W9SN5SE3SSTS/S4SW2SNJSEAS/EKSS6SWQCN3D/EADSJDW9DNKH/EJHS8HW5DNTH/E9HS3HWTDN4H/E7SSTCW6DNQH/E8SS7DW4DNJC/E3CS2DW4CN5C/N6CEQSS7HWQD/N8CEAHS6HWKD/N9CE2HS5HW8D,3.333333
369,1,right,1006119524482472516,NS,20,0,2,4,,,0,0,8DTDQD/AHKSAS/7CKCQS/TCQCAC,E2CSQCW4CN9C/STSW9SNKSEQS/NASE8SS4SW2S/NJSE7SS6SWKD/N5SE3SSTCWQD/N8CEJCSACW8H/S3HW6HN4HE2H/W4DNAHE3DSAD/S7HWTDNQHEJH/N5CE3CSJDW9D/N6CE7CS7DW8D/E9HS5HW6DNKH/NTHEKCS2DW5D,-6.000000
370,0,across,12406834343805671003,EW,4,5,3,14,,,0,0,KDTHKS/2CJDQH/QCAHQS/4H8HJH,W2CNQCE9CS5C/N2SEJSSKSW3S/S7SWASNQSETS/WQDNTDE2DSKD/S8DWJDN7DEJH/WQHNAHE8HSKH/N5HE4HS6HWAD/S4DWKCN3DE6S/S9DWTCN6DE9S/S4SWACN7HE5S/E4CSTHW3CN3H/E8CS9HW6CN2H/E7CS8SWJCN5D,-4.000000
370,1,across,12406834343805671003,NS,0,0,10,16,,,0,0,TD2SKS/JDQHJS/QC4D9D/QDADAS,E2CS5CWTCNQC/N4DEQDSTDWJD/EADS8DWJSN9D/E5SS7SW3SNTH/S9HW8HN7HEAS/SAHWQHN5HETS/SKHW4HN3HE9S/SKSWACN3DE6S/S2SWKCN5DE9C/S4SWJCN6DE8C/S8SW6CNKDE7C/S6HWJHN2HE4C/W3CN7DE2DSQS,2.000000
371,0,hold,5360805089419317870,EW,0,22,4,0,,,0,0,///,S2CW9CN8CEAC/EJDS7DW8DN9D/EKDS5DW2DNQD/E6SS4SWJSN9S/W5CN7CE6CSQC/SKCW3CNJCE4C/S3DW9HN6DEAD/E5HSAHW8HNKH/S3HWASN2HETH/E6HSQSW8SN4H/EJHSTSWKSNTD/E7HS4DW2SNTC/EQHS3SW5SN7S,-6.000000
371,1,hold,5360805089419317870,NS,1,21,4,0,,,0,0,///,S2CW9CNJCEAC/E6SS4SW5SN9S/N7SEQHS3SW2S/N6DEKDS7DW8D/E4CSKCW5CN7C/SQCW3CN8CE6C/S3DW2DNTDEAD/E5HSAHW9HNKH/S5DW8HN9DEJD/E6HS3HWASN4H/E7HSQSWKSN2H/ETHSTSWJSNQD/EJHS4DW8SNTC,5.333333
372,0,left,16761519908742516357,EW,1,6,16,3,,,0,0,JDKDKH/QD7HJH/ACADQS/8CQCTD,S2CWACNQCEKC/WADNTDEJDSQD/W6DN4DEKDS9D/E4CSJCWQSN9C/S3CWQHN6CETC/EKHSJHW9HNTH/E6SS3SWTSN9S/W3HN4HEASS8H/S2SW8SN4SEKS/E5CS7HW8DN8C/N3DE5DS2DWAH/E5SS5HW7SN6H/W2HN7CEJSS7D,2.666667
372,1,left,16761519908742516357,NS,0,18,7,1,,,0,0,6C7C9C/KCKSAS/AD8HQS/8CQCAH,S2CWADNQCETC/N9SEJSS2SW7S/E5SS3SW8SN4S/W6DNJDEQDS9D/E5DS2DW8DNKD/N4DEJHS7DWTD/WTSN8CE6SSAS/S5HW3HN4HE7H/E4CS3CWQSNTH/E5CSACWQHNAH/SKCW9HN3DE9C/SJCW8HNKHE7C/SKSW2HN6HE6C,4.000000
373,0,right,9715490654356163224,EW,0,17,8,1,,,0,0,AC8DKD/3CQC7D/8CJHAS/TC5DQS,S2CWKCNQCE8C/W8DN7DEADSJD/EASSQSW8SN9S/EQDS9DW6DNJC/EJSS5SWTSN6S/E7SS4SWKSN2S/WKDN9HETDS5D/W3HN4HEJHS5H/E6CSTCW5CN9C/S3SWACN6HEQH/S2DWTHN7CEAH/S3DW8HN4CE7H/S4DW2HN3CEKH,-3.333333
373,1,right,9715490654356163224,NS,1,24,0,1,,,1,0,8DKD9H/3C6CQC/2C8CJH/KCQSKS,E2CSKCWTCN9C/S3SW8SN9SEJS/E7SSASWTSN6S/S9DW8DN6HEAD/EAHS5HWTHN4H/EKHSQSW2HNQC/EQHS4SW9HN6C/EQDSJDWKDN3C/W5CNJCE8CS3D/N4CE7DSKSW8H/N2SETDS5SW5D/S4DW6DNACEJH/W3HN7CE7HS2D,8.000000
374,0,across,2669461399969810095,EW,26,0,26,26,E,cfr,0,0,3CQCKS/6D8D8H/AC7DJH/QD9HQS,W2CNACE8CSQC/N5SE3SS4SWJS/WTSN6SE8SSKS/S7SW2SNJHEAS/EADS4DW8DNKD/EKCS9CWTCN7D/EQDS6HW6DNJD/ETDS5CW3DN9D/EQHS4HW8HNTH/EAHS2HW7HN5H/EQSS9SW4CN5D/EKHS7CWJCN3H/E9HS3CW6CN2D,8.666667
374,1,across,2669461399969810095,NS,0,23,3,0,,,1,1,QCTHKS/6D3S8S/7C9C7D/QD9HQS,W2CN9CE8CSAC/S9SWTSN6SEAS/EADS4DW6DN9D/EKCSQCWJCN7C/EQSS4SWJSN5S/EQDSKSW3DNJD/ETDS6HWTCN7D/EAHSTHW7HN5H/EKHS2HW8SN3H/EQHS4HW6CN3C/E9HSJHW4CNKD/S7SW3SN5DE8H/S5CW2SN2DE8D,6.666667
375,0,hold,14070176219293008578,EW,23,1,0,2,,,0,0,///,E2CSJCWTCN7C/S9SWTSNJSEAS/E7SSKDW8SNKS/N3CEACSKCW5C/EJDS8DWADNQD/W6SNQSE2SSKH/N6DETDS4DW5D/E9CS8CW4CNTH/E2HS3HW4HN6H/N3SEJHS5HW5S/W3DN7DEAHS2D/N4SE9HSQCWQH/N9DE8HS6CW7H,6.666667
375,1,hold,14070176219293008578,NS,25,0,1,0,,,0,0,///,E2CSKCWTCN7C/S9SW8SNJSEAS/E2SSKHW5SNKS/N6HE2HS5HW4H/NTHE9HS3HW7H/N6DETDSKDW5D/S4DWADNQDEJD/WTSN3SE7SSJC/W6SN4SEACS8C/W3DN9DE9CS8D/N3CEAHSQCW5C/S2DWQHN7DEJH/NQSE8HS6CW4C,-8.666667
376,0,left,7024146964906655449,EW,3,8,0,15,,,0,0,QCKCAH/2CQHQS/JCACJH/TDJDAD,S2CWJCN5CEKC/EJSS9SW6SN3S/EQCS9CW8CNTC/E8SS7SWTSN8H/W4DNADE8DSQD/N5HETHS9HW3H/E2DS6DW9DNTD/N3CEAHSQSWAC/W4CN6CEKHSQH/N5DE3DS4SWJH/N6HE7HS4HW2H/E7DSKSWASNJD/N7CEKDS5SW2S,-6.666667
376,1,left,7024146964906655449,NS,14,4,7,1,,,0,0,5D8H3S/2CQHQS/JCACQD/8CADAS,S2CWACN7CEJS/WTSNASE8SSQS/NADEKDS6DWQD/NKCE8DS9CWJC/N5CE7DSQHW4C/N6HE7HS4HW3H/E3SS4SW2SNAH/S9HW2HN5HE8H/SJHWJDNTCETH/S5SW6SNQCEKH/W4DN8CE3DS9S/W9DN3CE5DSKS/WTDN6CE2DS7S,-5.333333
377,0,right,18424861784229853932,EW,3,2,1,20,,,0,0,7CACQS/2CKCKS/8CJDAH/TDQDAS,N2CETCS5CWQC/WKDN8DEJDSQD/W6CNKCEJCS4C/N2SEAHS6SW4S/S3SWQSNJSEKH/W3CNJHE8CSAS/E3HSTSW6HN5H/W4HN7HE2HSTD/N2DEADS6DWQH/E9HS9SWTHN8H/W9CNKSE7DS8S/W7CN7SE5DS4D/WACN5SE9DS3D,-6.000000
377,1,right,18424861784229853932,NS,5,3,2,16,,,0,0,7CAC8D/JCKCKS/8CJDAH/QDKDAS,E2CS5CW6CNKC/NJCETCS4CWQC/W4SN7SE8CS6S/NJSEAHS3SWQH/N2DEADSKDWTD/E2HSASWTHN8H/W8DNQSE7DS6D/W4HN5HE3HSTS/N7HE9HS8SW6H/E5DS4DWACNKS/E9DS3DW9CN2S/EJDSQDW7CNJH/S9SW3CN5SEKH,4.000000
378,0,across,11378832529843500803,EW,3,3,14,6,,,0,0,9CQCQS/2CTCAS/AC9DKD/JCKCKH,W2CNACEJCSQC/N5SEKHSTSWKS/W8SN9SETHS7S/NJSEADSQSW6S/S3SW2SNKDEKC/S5CWTCN3CE8C/WTDN9DE8DSAH/W2DN4DEQDSQH/E3DS9HWJHNJD/N2HE4HS3HW5H/W6HN7DE8HS9C/E4CS6CWASN6D/S7CW4SN5DE7H,2.666667
378,1,across,11378832529843500803,NS,1,13,7,5,,,0,0,9CQCQS/QDADAS/7C9DKD/JCKCKS,E2CS9CWASN7C/SQCWKHN3CEJC/SACWJHN5DEKC/S9HW6HN2HE8H/SQSW8SN9SEKS/E4HS3HW5HNJS/W2SN5SE8CS7S/S6CWADNKDETC/E4CS5CWQDN7D/STSW6SNJDETH/S3SW4SN9DE7H/WTDN4DE8DSQH/W2DN6DE3DSAH,3.333333
379,0,hold,4332803275457147670,EW,20,0,0,6,,,0,0,///,S2CWACNKCETC/W6CN5CEQCSJC/E7CS3CW4CN9C/N4SEKSSTSWAS/W8SNJSE8HS7S/NQHE5HSJHW7H/N3HE6HS2HWTH/W9SN6SEAHS5S/W3DN7DE5DS8D/S2SWQDNQSE4H/N9DE6DSKHW4D/NTDE2DS9HWAD/W8CNJDEKDS3S,4.666667
379,1,hold,4332803275457147670,NS,5,1,0,20,,,0,0,///,S2CW4CNKCEQC/NTDE6DS8DWQD/W8SN6SEKSSTS/E7CS3CW6CN9C/NJDE5DS9HW4D/N7DE2DSKHWAD/W3DN9DEKDSJH/ETCSJCW8CN5C/S7SW9SN4SEAH/W7HNQHE8HS2H/N3HE4HS5SWTH/WACNQSE6HS2S/WASNJSE5HS3S,5.333333
380,0,left,15733518094780346157,EW,24,0,0,2,,,0,0,THJHKH/TDQDKS/ADQHAS/7DAHQS,N2CE7CSKSWJC/W6SN4SE5SSTS/S8SW9SN2SE3S/WADN8DE4DSKD/W3CNKCETCS9H/NACE5CS3HW6C/NAHE7HSQDWQH/NJSETHSJDWAS/W7SNQSE8HSTD/N8CEJHS9DWQC/W4CN9CEKHS6D/N3DE4HS2DW5H/N7DE2HS5DW6H,7.333333
380,1,left,15733518094780346157,NS,26,26,0,26,S,cfr,0,0,THJHKH/TDQDKS/3H9H8S/7DAHQS,N2CE7CSTSWJC/W6SN4SE5SSKS/SASW9SNQSE3S/SADWQCN8DE4D/S9DW8SN7DETC/S5DW7SN3DE5C/S6DW6CNAHEKH/SQHW9HNACEJH/SQDW4CN9CETH/SJDW3CNJSE8H/S2DW6HN8CE7H/STDW5HN2SE4H/SKDW3HNKCE2H,8.666667
381,0,right,8687488840393993024,EW,0,26,26,26,N,mc,0,1,7C2H6S/3D5DJD/KCQDKD/8C9CTC,S2CW7CNJCEKC/EKDS9DW6DN3D/EQDS8DW7DNAD/N8SE4SS3SW6S/N5DEQSS4DW2D/NTDETHSJSW7H/NKHE3HSTCW2H/NJDE5CS9CW9S/NQCE7SS8CWTS/NJHE5HS6CW6H/NACE4HS4CW5S/NKSE9HS2SW8H/NASEAHS3CWQH,-8.666667
381,1,right,8687488840393993024,NS,24,0,0,2,,,0,0,QCKSAS/5CJDQS/8D9DQD/8C9CTC,S2CWQCNACEQD/NTDE9DSKDW7D/SJSWTSN6SE7S/S3SW5SN8SE4S/NJDE8DS4DW6D/NJCEAHS8CWQH/N7CETHS6CWAS/N5CE9HS4CWKS/NADE5DS9CW2D/NQSE5HS2SW9S/NJHE4HS3CW8H/NKHE3HSTCW7H/N2HE3DSKCW6H,-7.333333
382,0,across,1641459586007639895,EW,0,3,22,1,,,0,0,QCACAS/QDKD6H/JDADKS/6C9DQS,E2CS5CWJSNTC/N5SETSSASW3S/S2SWQHN6SE7S/E9DS5DW8DN7D/E3CSQCWTHNKS/S4SWKHN8SE9S/E4DSJHWQDNJD/W3HN2HE3DS9H/S8HW6HN7HE9C/S7CWTDNAHE6C/S8CWKDN5HEJC/E4CSKCW6DN4H/SACW2DNADEQS,6.000000
382,1,across,1641459586007639895,NS,0,5,21,0,,,0,0,TCAC7D/QDKD6H/8H9HJH/6CKHQS,E2CSACWJSNQC/S5DW2DN7HE4D/S4SW3SN6SE7S/EKHSKSWQHN5H/E3CSTCWTHN9H/S2SW6HN8SETS/E4CSKCW3HNAS/S5CWKDNAHEJC/E9SS8CWQDN5S/E3DSADWTDNJH/S7DW6DN8HEQS/S7CW9DN4HE6C/SJDW8DN2HE9C,-5.333333
383,0,hold,13042174405330838378,EW,7,0,19,0,,,0,0,///,N2CEKCSACWQC/SKSW9SNTSEAS/E8SSQSWJSN7S/S7CW9CNTCE8C/N6SE4SS5CW2S/N4DE5DS3DWTD/W7DN6DE2DSQD/SKDW5HNJDE7H/S3HW4HNJHE8H/NQHE3SS9HWTH/N8DE6CSADWAH/S6HW2HNJCE4C/SKHW3CN9DE5S,8.666667
383,1,hold,13042174405330838378,NS,11,0,15,0,,,0,0,///,N2CE4CS7CWQC/WTDN8DE5DSAD/SACW9CNJCEKC/S5CW3CNTCE8C/N7SE5SSKSWJS/SQDW7DNJDE2D/SKDWAHN6DE7H/S9HW5HNJHE8H/NTSE8SSQSW9S/S3HW2HNQHEAS/N6SE4SSKHW2S/N4DE6CS3DWTH/N9DE3SS6HW4H,-8.666667
384,0,left,5996145150944485249,EW,0,23,0,3,,,0,0,QHKSAS/9CJCQS/ACJHAH/2CTCKC,N2CE7CSJCWAC/WJSNTSE2SS9S/W4SN3SE8SS7S/E7DS2DW5DNQD/N6DEJDSQSW4D/EASS6SWTHNKC/EADS9CW3DN8D/EKSS5SW8HNQC/E9DS3CWKDNTC/W4HN8CEQHS9H/ETDS3HWJHN6C/EKHS7HW2HN5C/E5HS6HWAHN4C,-8.666667
384,1,left,5996145150944485249,NS,1,25,0,0,,,0,0,QDQHKS/JCADQS/AC2D9H/2CTCKC,N2CE7CSJCWAC/WJSN3SE8SS6S/W4SNTSE2SS7S/N8DE9DSADWKD/S9SWTHNASEKS/N6DE7DSQSW5D/E5HS3HW4HNQC/E9CS3CW9HN5C/EQHS7HW8HNKC/EKHSJHW2HN4C/ETDS6HW4DNTC/EJDS5SW3DN8C/EQDSAHW2DN6C,8.000000
385,0,right,17396859970267683732,EW,0,19,5,2,,,0,0,QCADJS/TCKCQH/JHAHAS/JD8HKH,W2CN7CEKSS8C/SJDW9DN8DE5D/S7DWADNKDETD/W9SNQHE6SS8S/WJSNTHE5SS7S/W4SN3HETSS2S/E5HSKHW6DN2H/SQDWQCN2DE4D/S6HWACNKCEJH/E4HS7HW9CNJC/SQSW3SNTCEAS/EAHS9HW6CN5C/E3DS8HW4CN3C,-5.333333
385,1,right,17396859970267683732,NS,7,0,5,14,,,0,0,8DADJS/TCKCKS/8C7DQD/JD8HKH,W2CNKCE8CSJD/NKDEQDS2SW8D/N2DE3DS8SWAD/W9SNKSETSS7S/N3CEQHSQSWAC/W4CNTCE5HSAS/N3HE4HS7HW9C/S6HW6CN2HE5S/S8HWJSNTHE6S/N7CETDSAHW9D/NJCE7DSKHW6D/NQCE5DSJHW4S/N5CE4DS9HW3S,0.666667
386,0,across,10350830715881330603,EW,0,0,24,2,,,1,1,QCTDJH/8H9HTH/3C5C5S/TCAC5D,N2CEKCSQCW9D/E5DSADW6DN3D/SKDW4DN5HEQD/SAHW9HN3HEAS/SQSW9SN8SE7S/SQHW7HN2HETC/SJHWTHN8CEKS/SJDWJSN7CE8D/SJCWTSN5CEAC/E2DSTDW8HN6S/S9CW4SN3CE4C/S7DW4HN5SE3S/S6HWKHN2SE6C,7.333333
386,1,across,10350830715881330603,NS,0,26,26,26,N,cfr,0,0,2C7CQC/THKSAS/QHAHQS/TCACKH,S2CW9DN8CEKC/E3SS5SW9SN6S/W4SN8SE7SS6H/NTDE8DS7DW6D/NAHEKHSJDWTH/NQHE9HSKDW7H/NJHE8HSADW4H/N5HEACS5CWAS/N3HEQDS9CWKS/N2HETCSJCWJS/NQSE6CS7CWTS/N2SE4CSQCW5D/N3DE2DS3CW4D,8.666667
387,0,hold,3304801461494977470,EW,2,24,0,0,,,0,0,///,W2CNKCE9CSQC/N7DE9DSTDWKD/W6SN3SEJSS5S/E5DS6DWQDN8D/W9SN8SETSS4S/E7CS6CWACNTC/W3CN4CEJCSQS/EKSSJDW4DNAS/N2SE5CSJHWTH/N4HEAHS7HW9H/E3DS2DWKHNQH/E8CS6HW8HN5H/EADS3HW2HN7S,-7.333333
387,1,hold,3304801461494977470,NS,26,0,26,26,E,mc,1,0,///,W2CNKCEJCSQC/N7SETSS4SW9S/E3DSTDWQDN8D/WACNTCE9CS6C/W6SN8SEJSS5S/EADSJDWKDN7D/EKSSQSW3CN3S/E9DS6DW4DNQH/EAHS7HWKHN5H/E8CS6HWTHN4C/E7CS2DW2HN2S/E5DS3HW9HNAS/E5CSJHW8HN4H,-8.666667
388,0,left,14705516280818175957,EW,0,0,14,12,,,0,0,THJHQH/8DKSAS/KCAHQS/AC7HKH,E2CSTCWKCNAC/N5SE7SSTSW9S/S4DWTDN9DEQH/WQDN7DETHSJD/WADN6DE6HS2D/W5HN2HE3HSAS/W8SNJSEJHSKS/S3SW6SNKHE9H/WAHN7HE8HS4S/WKDNQCE4HS8D/W3DNJCE9CS5D/S5CWQSN4CE3C/S7CW2SN8CE6C,0.666667
388,1,left,14705516280818175957,NS,0,26,26,26,N,cfr,0,0,6D7D9D/8DKSAS/TCKCAH/ACADKH,E2CS7CWTCNJC/NADE9DS5DWKD/NJSE7SSASW9S/S5CWKCN8CE6C/W2SN5SE9HS4S/NQCE9CSQSWAH/NTHE8HSKSW7H/NACE3CS4DWQD/NJHE6HSTSW5H/NQHE4HS2DWTD/NKHE3HSJDW8S/N4CE7DS3SW6S/N2HE6DS8DW3D,8.666667
389,0,right,7659487026431822824,EW,2,5,13,6,,,0,0,9HTHKH/7CKCAS/ACJDAH/3CJC7D,S2CW3DN7CEAC/E4DS6DWQSN5D/S7DWKHNTDE9D/NADEJDS8DWTH/N5SE6SS9SW8S/S4HW7HNASE3H/W2SN7SE4SSTS/S5HW9HNKCE2H/W6HNQCEAHSJS/EKSSJCW3SNTC/E2DS8CW8HN9C/EQDS6CWQHN5C/EKDS3CWJHN4C,1.333333
389,1,right,7659487026431822824,NS,1,15,5,5,,,0,0,9HTHKH/KCKSAS/2C8CAC/JCQHQS,E2CSJCW3CNKC/N5DE4DSJDW7D/S8DW3DNTDEQD/E2DS6DWKHNAD/N4CEACS6CWJH/E6SS9SW8SNAS/N5CE7CSQSWTH/E4SSTSW3SN7S/S4HW6HNKSE3H/W2SN5SE2HSJS/S5HW7HN9CEKD/W8HNQCE9DSQH/SAHW9HNTCE8C,4.666667
390,0,across,613457772045469695,EW,5,3,17,1,,,0,0,KCJHAH/TDQSAS/ACQDKS/2D3DAD,W2CN5CEQCSKC/S8DWTDN7DEAD/E8SS6SW7SNKS/NJSE9HS5SWAS/W9CNTCE4CS8C/N4HE2HSAHWTH/S9DWQSN6DE4D/S7CW3CNJCE6C/N8HE5HS6HW7H/N5DE3DSJHW9S/NJDE2DSTSW4S/NQDEKDS3SW3H/EKHS2SWQHNAC,6.000000
390,1,across,613457772045469695,NS,0,0,2,24,,,0,0,TCJCKC/KDQSAS/7C8CAC/ADTHQH,W2CNACEQCSKC/NJSE8SS6SWAS/W3CN5CE4CSJC/STSW9SNJHEAD/S5SW7SNAHETD/WKDNJDE4DS9D/W9CN7CE6CSTC/S2SW4SN8HEKH/W7HN4HE5HS6H/W3HN7DE2HSQD/W2DN6DEQHS8D/S3SWQSN5DETH/W3DN8CE9HSKS,7.333333
391,0,hold,12014172591368668178,EW,1,21,0,4,,,0,0,///,N2CEJCS8CWQC/W9SN8SE6SS5S/W7DN6DEJDSQD/S7SW9HNKSE3S/N5DE4DS3DWKD/W5HN2HE4HS3H/W3CNQSE5CSAS/E2DSTSW8DN9D/N8HEKHSQHWKC/ETCSJSW7CNAH/E6CSJHW4CNTH/ETDS7HWACN4S/EADS6HW9CN2S,-8.000000
391,1,hold,12014172591368668178,NS,17,2,7,0,,,0,0,///,N2CETCS8CWQC/W9SN4SE6SSAS/SJSW9HN8SE3S/S7SW5HN2SEKH/STSWKDNKSE4H/N9DETDSQDW8D/S5SWACNQSEAD/N5DE4DS3DW7D/W3CNAHE5CSJH/E2DS6HWKCN6D/N2HEJDS3HW9C/S7HW7CNTHEJC/N8HE6CSQHW4C,-7.333333
392,0,left,4968143336982315049,EW,0,0,13,13,,,0,0,JCAC9S/7DJHKH/KCQSKS/2C5CTD,N2CEJCS9CWKC/W8DN5DEJDS7D/E8SS6SWKSNTC/W6DN4DE2DS3D/W4CN5CEACSQC/EJSSTSWQSN7C/WTHN7HEASSJH/SKHW9HN5HEKD/S4SWAHN4HE3S/S5SW6HN3HE2S/S3CWQHNQDEAD/S6CW8HNTDE9S/S8CW2HN9DE7S,-0.000000
392,1,left,4968143336982315049,NS,6,20,0,0,,,0,1,7CJCAC/2D2S3S/8C9C3D/TDQHAH,W2CNTCE7CSKC/S6SWTHN9SEAS/E7DS2DW6DN5D/EJSS3SW9HN4H/EKDSQSW3DN9D/EADS6CW8DNTD/EKHSTSW8HN7H/EJCS3CW9CN5H/E7SS4SW8CN4D/EJHS2SW6HNAH/N3HEACSKSW2H/NQDEJDS5SW5C/NQHE8SSQCW4C,4.666667
393,0,right,16368858156305513532,EW,26,26,26,0,W,cfr,0,0,KDTHJH/7C8CQS/KCQDKS/QC9DTD,S2CWJCN8CEKC/E8DS6DWKDN7D/WASNQSEKSSTS/W9SN5SEJSS8S/E5DS3DW6SN4D/E2DS9DW7SN4S/S2SW3SNACEJD/WJHN2HE7HS8H/WQHN7CE6HS5H/WAHN6CE4HSQC/WKHN5CE9HSTD/WTHN4CEADSTC/W3HN3CEQDS9C,8.666667
393,1,right,16368858156305513532,NS,0,3,8,15,,,0,0,4D7DKD/7C8CQS/2CTCKC/JCQCAS,E2CSJCWKDN4C/S8SW7SN4SEJS/ETCS9CWAHN3C/EKCSQCWKHN6C/E2DS6DW9DNQS/W4DNTHE5DSQD/S3DWTDNJHE8D/W7DNACEJDS8H/E4HS5HW3HN2H/SASW9SN5SE9H/S2SW3SN7CE7H/W6SN5CE6HSTS/SKSWQHN8CEAD,3.333333
394,0,across,9322828901919160403,EW,2,20,4,0,,,0,0,QCAHKS/ADTHAS/TCACKH/2CJDQS,E2CSQCW9CNAC/N9SETSS8SWAS/W2SN6SEJSSKS/S7CW4CN6CEJC/EJDSTDWADN7D/W3SN4SEQSS7S/E6DS9DWQDN5D/W3HN5HE2HSAH/S4DWTHN3DEKD/E8DSQHWJHN2D/E3CS9HW7HNTC/N5CE8CS6HW8H/EKCS5SW4HNKH,-4.666667
394,1,across,9322828901919160403,NS,10,0,3,13,,,0,0,5C6CQC/ADTHAS/7CTCAC/2C9CQS,E2CSQCW4CNAC/N5DE6DSTDWAD/W2SN9SETSS8S/EKDS9DWQDN7D/E8DS4DWJDN2D/W3SN6SEJSS7S/EQSS5SWASNKS/W3HNAHE2HS9H/N5HEKCSQHWJH/S5CWTHNTCE9C/N7CE3CS6CW8H/N4SEJCSKHW7H/N3DE8CS6HW4H,0.000000
395,0,hold,2276799647532807270,EW,15,0,4,7,,,0,0,///,S2CWKCNJCEQC/WKDNTDEJDS9C/W4SN8SE6SSJS/S7SW5SNKSEAS/E3SSTCW2SNTS/N8CEAHS7CWAC/W4DN9DEADS5C/E9SSQHWTHNQS/N3HE4HS5HW2H/S6HWJHN4CEQD/WKHN7DE6DS9H/W3CN5DE3DS8H/W6CN2DE8DS7H,4.000000
395,1,hold,2276799647532807270,NS,16,5,0,5,,,0,0,///,S2CWKCNJCEQC/WKDNTDEQDS7C/W4SNTSE9SSJS/S7SW5SN8SEAS/E3SSTCW2SNKS/N8CEAHS5CWAC/W4DN9DE8DS9C/N3HE4HS5HWKH/W3CN4CE3DS9H/N5DE6DSQHWJH/E6SS7HWTHNQS/N7DEJDS8HW2H/EADS6HW6CN2D,-2.000000
396,0,left,13677514466856005757,EW,0,26,26,26,N,mc,0,0,2C7C9C/5D9DKD/ACQDAH/6C9HQH,E2CSQCWACN6C/W9SNKSE6SS7S/NJDEKHS9DWTD/NASE3SSKCW4S/N8SE5SSTCW2S/NTSEJCS5CWAH/NJSE4CSJHW4D/NQSE9CS7HW6D/N6HE5HS4HW2H/N8HE3HSKDWAD/N9HE7CS8DW7D/NTHE3CS5DW3D/NQHE8CS2DWQD,-8.666667
